Nation,Consumptions,Type,Year
Mexico,208.38,Electricity,2007
Mexico,63.2,Natural Gas,2007
Venezuela,78.07,Electricity,2007
Venezuela,21.59,Natural Gas,2007
China,2816.83,Electricity,2007
China,70.49,Natural Gas,2007
India,588.42,Electricity,2007
India,42.23,Natural Gas,2007
Indonesia,121.61,Electricity,2007
Indonesia,30.48,Natural Gas,2007
Japan,1050.66,Electricity,2007
Japan,107.02,Natural Gas,2007
Malaysia,89.36,Electricity,2007
Malaysia,41.41,Natural Gas,2007
South Korea,392.66,Electricity,2007
South Korea,35.01,Natural Gas,2007
Taiwan,217.09,Electricity,2007
Taiwan,11.14,Natural Gas,2007
Thailand,133.18,Electricity,2007
Thailand,36.21,Natural Gas,2007
Australia,212.15,Electricity,2007
Australia,32.37,Natural Gas,2007
New Zealand,39.44,Electricity,2007
New Zealand,4.36,Natural Gas,2007
Algeria,31.29,Electricity,2007
Algeria,26.28,Natural Gas,2007
Egypt,106.6,Electricity,2007
Egypt,43.4,Natural Gas,2007
Nigeria,19.67,Electricity,2007
Nigeria,11.9,Natural Gas,2007
South Africa,219.15,Electricity,2007
South Africa,4.22,Natural Gas,2007
Iran,156.52,Electricity,2007
Iran,123.22,Natural Gas,2007
Kuwait,36.63,Electricity,2007
Kuwait,12.06,Natural Gas,2007
Saudi Arabia,169.78,Electricity,2007
Saudi Arabia,60.7,Natural Gas,2007
United Arab Emirates,65.5,Electricity,2007
United Arab Emirates,47.75,Natural Gas,2007
Belgium,85.82,Electricity,2008
Belgium,17.54,Natural Gas,2008
Czech Rep.,60.48,Electricity,2008
Czech Rep.,8.69,Natural Gas,2008
France,460.87,Electricity,2008
France,45.28,Natural Gas,2008
Germany,542.8,Electricity,2008
Germany,92.42,Natural Gas,2008
Italy,319.04,Electricity,2008
Italy,84.88,Natural Gas,2008
Netherlands,112.94,Electricity,2008
Netherlands,48.48,Natural Gas,2008
Poland,127.35,Electricity,2008
Poland,16.17,Natural Gas,2008
Portugal,49.19,Electricity,2008
Portugal,4.72,Natural Gas,2008
Romania,47.89,Electricity,2008
Romania,16,Natural Gas,2008
Spain,260.96,Electricity,2008
Spain,40.32,Natural Gas,2008
Sweden,133.26,Electricity,2008
Sweden,0.8,Natural Gas,2008
United Kingdom,350.1,Electricity,2008
United Kingdom,99.07,Natural Gas,2008
Norway,116.59,Electricity,2008
Norway,5.63,Natural Gas,2008
Turkey,161.95,Electricity,2008
Turkey,36.65,Natural Gas,2008
Kazakhstan,59.57,Electricity,2008
Kazakhstan,24.66,Natural Gas,2008
Russia,843.37,Electricity,2008
Russia,445.7,Natural Gas,2008
Ukraine,148.32,Electricity,2008
Ukraine,64.82,Natural Gas,2008
Uzbekistan,42.31,Electricity,2008
Uzbekistan,52.6,Natural Gas,2008
Canada,549.34,Electricity,2008
Canada,100.28,Natural Gas,2008
United States,3907.23,Electricity,2008
United States,659.16,Natural Gas,2008
Argentina,107.05,Electricity,2008
Argentina,47.1,Natural Gas,2008
Brazil,422.57,Electricity,2008
Brazil,25.14,Natural Gas,2008
Chile,54.15,Electricity,2008
Chile,2.75,Natural Gas,2008
Colombia,43.05,Electricity,2008
Colombia,8.75,Natural Gas,2008
Mexico,214.61,Electricity,2008
Mexico,67.86,Natural Gas,2008
Venezuela,80.17,Electricity,2008
Venezuela,27.5,Natural Gas,2008
China,2988.74,Electricity,2008
China,81.2,Natural Gas,2008
India,618.76,Electricity,2008
India,42.61,Natural Gas,2008
Indonesia,128.81,Electricity,2008
Indonesia,32.61,Natural Gas,2008
Japan,1008.42,Electricity,2008
Japan,104.52,Natural Gas,2008
Malaysia,92.88,Electricity,2008
Malaysia,45.89,Natural Gas,2008
South Korea,408.04,Electricity,2008
South Korea,35.8,Natural Gas,2008
Taiwan,214.35,Electricity,2008
Taiwan,12.08,Natural Gas,2008
Thailand,135.45,Electricity,2008
Thailand,39.58,Natural Gas,2008
Australia,213.01,Electricity,2008
Australia,32.96,Natural Gas,2008
New Zealand,38.82,Electricity,2008
New Zealand,4.15,Natural Gas,2008
Algeria,32.9,Electricity,2008
Algeria,26.33,Natural Gas,2008
Egypt,111.71,Electricity,2008
Egypt,44.57,Natural Gas,2008
Nigeria,18.52,Electricity,2008
Nigeria,11.08,Natural Gas,2008
South Africa,213.46,Electricity,2008
South Africa,4.34,Natural Gas,2008
Iran,166.18,Electricity,2008
Iran,130.18,Natural Gas,2008
Kuwait,38.72,Electricity,2008
Kuwait,12.7,Natural Gas,2008
Saudi Arabia,181.1,Electricity,2008
Saudi Arabia,66.95,Natural Gas,2008
United Arab Emirates,74.6,Electricity,2008
United Arab Emirates,57.96,Natural Gas,2008
Belgium,79.66,Electricity,2009
Belgium,17.71,Natural Gas,2009
Czech Rep.,57.11,Electricity,2009
Czech Rep.,8.23,Natural Gas,2009
France,447.62,Electricity,2009
France,43.8,Natural Gas,2009
Germany,513.67,Electricity,2009
Germany,85.96,Natural Gas,2009
Italy,299.92,Electricity,2009
Italy,78.02,Natural Gas,2009
Netherlands,109.05,Electricity,2009
Netherlands,48.94,Natural Gas,2009
Poland,122.3,Electricity,2009
Poland,15.88,Natural Gas,2009
Portugal,48.77,Electricity,2009
Portugal,4.74,Natural Gas,2009
Romania,42.67,Electricity,2009
Romania,13.26,Natural Gas,2009
Spain,247.16,Electricity,2009
Spain,35.89,Natural Gas,2009
Sweden,127.94,Electricity,2009
Sweden,1.24,Natural Gas,2009
United Kingdom,330.02,Electricity,2009
United Kingdom,91.38,Natural Gas,2009
Norway,113.42,Electricity,2009
Norway,5.96,Natural Gas,2009
Turkey,156.89,Electricity,2009
Turkey,35.12,Natural Gas,2009
Kazakhstan,59.22,Electricity,2009
Kazakhstan,23.81,Natural Gas,2009
Russia,807.94,Electricity,2009
Russia,426.38,Natural Gas,2009
Ukraine,134.21,Electricity,2009
Ukraine,50.38,Natural Gas,2009
Uzbekistan,42.78,Electricity,2009
Uzbekistan,46.21,Natural Gas,2009
Canada,503.42,Electricity,2009
Canada,96.67,Natural Gas,2009
United States,3724.66,Electricity,2009
United States,646.65,Natural Gas,2009
Argentina,106.38,Electricity,2009
Argentina,46.46,Natural Gas,2009
Brazil,420.53,Electricity,2009
Brazil,20.12,Natural Gas,2009
Chile,54.53,Electricity,2009
Chile,3.25,Natural Gas,2009
Colombia,45.09,Electricity,2009
Colombia,10.01,Natural Gas,2009
Mexico,211.27,Electricity,2009
Mexico,65.99,Natural Gas,2009
Venezuela,83.08,Electricity,2009
Venezuela,26.04,Natural Gas,2009
China,3222.52,Electricity,2009
China,89.46,Natural Gas,2009
India,669.08,Electricity,2009
India,58.45,Natural Gas,2009
Indonesia,136.05,Electricity,2009
Indonesia,38.84,Natural Gas,2009
Japan,982.79,Electricity,2009
Japan,103.99,Natural Gas,2009
Malaysia,102.92,Electricity,2009
Malaysia,38.27,Natural Gas,2009
South Korea,414.69,Electricity,2009
South Korea,34.41,Natural Gas,2009
Taiwan,205.5,Electricity,2009
Taiwan,11.54,Natural Gas,2009
Thailand,135.21,Electricity,2009
Thailand,36.98,Natural Gas,2009
Australia,217.36,Electricity,2009
Australia,33.61,Natural Gas,2009
New Zealand,38.64,Electricity,2009
New Zealand,4.27,Natural Gas,2009
Algeria,30.61,Electricity,2009
Algeria,27.58,Natural Gas,2009
Egypt,118.9,Electricity,2009
Egypt,43.75,Natural Gas,2009
Nigeria,18.05,Electricity,2009
Nigeria,9.66,Natural Gas,2009
South Africa,205.32,Electricity,2009
South Africa,3.76,Natural Gas,2009
Iran,174.05,Electricity,2009
Iran,136.49,Natural Gas,2009
Kuwait,39.99,Electricity,2009
Kuwait,12.38,Natural Gas,2009
Saudi Arabia,193.47,Electricity,2009
Saudi Arabia,63.98,Natural Gas,2009
United Arab Emirates,78.38,Electricity,2009
United Arab Emirates,57.63,Natural Gas,2009
Belgium,85.92,Electricity,2010
Belgium,19.81,Natural Gas,2010
Czech Rep.,59.26,Electricity,2010
Czech Rep.,9.28,Natural Gas,2010
France,471.76,Electricity,2010
France,49.62,Natural Gas,2010
Germany,547.28,Electricity,2010
Germany,94.34,Natural Gas,2010
Italy,309.88,Electricity,2010
Italy,83.1,Natural Gas,2010
Netherlands,112.55,Electricity,2010
Netherlands,54.91,Natural Gas,2010
Poland,129.42,Electricity,2010
Poland,17.15,Natural Gas,2010
Portugal,50.61,Electricity,2010
Portugal,5.14,Natural Gas,2010
Romania,45.97,Electricity,2010
Romania,13.58,Natural Gas,2010
Spain,250.17,Electricity,2010
Spain,35.76,Natural Gas,2010
Sweden,136.63,Electricity,2010
Sweden,1.56,Natural Gas,2010
United Kingdom,337.5,Electricity,2010
United Kingdom,99.21,Natural Gas,2010
Norway,120.56,Electricity,2010
Norway,6.12,Natural Gas,2010
Turkey,172.05,Electricity,2010
Turkey,38.13,Natural Gas,2010
Kazakhstan,64.61,Electricity,2010
Kazakhstan,27.56,Natural Gas,2010
Russia,850.66,Electricity,2010
Russia,465.78,Natural Gas,2010
Ukraine,148.08,Electricity,2010
Ukraine,56.92,Natural Gas,2010
Uzbekistan,44.28,Electricity,2010
Uzbekistan,45.71,Natural Gas,2010
Canada,505.95,Electricity,2010
Canada,97.31,Natural Gas,2010
United States,3894.37,Electricity,2010
United States,681.71,Natural Gas,2010
Argentina,112.76,Electricity,2010
Argentina,46.48,Natural Gas,2010
Brazil,459.31,Electricity,2010
Brazil,27.16,Natural Gas,2010
Chile,55.29,Electricity,2010
Chile,5.3,Natural Gas,2010
Colombia,45.86,Electricity,2010
Colombia,10.6,Natural Gas,2010
Mexico,221.09,Electricity,2010
Mexico,69.59,Natural Gas,2010
Venezuela,83.84,Electricity,2010
Venezuela,29.18,Natural Gas,2010
China,3625.52,Electricity,2010
China,106.37,Natural Gas,2010
India,727.13,Electricity,2010
India,64.06,Natural Gas,2010
Indonesia,147.97,Electricity,2010
Indonesia,43.53,Natural Gas,2010
Japan,1036.73,Electricity,2010
Japan,110.04,Natural Gas,2010
Malaysia,110.85,Electricity,2010
Malaysia,37.3,Natural Gas,2010
South Korea,458.47,Electricity,2010
South Korea,43.31,Natural Gas,2010
Taiwan,222.22,Electricity,2010
Taiwan,14.64,Natural Gas,2010
Thailand,149.32,Electricity,2010
Thailand,42.13,Natural Gas,2010
Australia,220.85,Electricity,2010
Australia,34.77,Natural Gas,2010
New Zealand,39.7,Electricity,2010
New Zealand,4.71,Natural Gas,2010
Algeria,36.57,Electricity,2010
Algeria,27.38,Natural Gas,2010
Egypt,123.72,Electricity,2010
Egypt,43.84,Natural Gas,2010
Nigeria,20.88,Electricity,2010
Nigeria,10.79,Natural Gas,2010
South Africa,213.81,Electricity,2010
South Africa,4.74,Natural Gas,2010
Iran,187.93,Electricity,2010
Iran,144.42,Natural Gas,2010
Kuwait,43.24,Electricity,2010
Kuwait,14.51,Natural Gas,2010
Saudi Arabia,212.26,Electricity,2010
Saudi Arabia,73.33,Natural Gas,2010
United Arab Emirates,84.42,Electricity,2010
United Arab Emirates,60.8,Natural Gas,2010
Belgium,83.89,Electricity,2011
Belgium,17.78,Natural Gas,2011
Czech Rep.,58.64,Electricity,2011
Czech Rep.,8.49,Natural Gas,2011
France,442.97,Electricity,2011
France,44.39,Natural Gas,2011
Germany,540.56,Electricity,2011
Germany,85.59,Natural Gas,2011
Italy,313.79,Electricity,2011
Italy,77.92,Natural Gas,2011
Netherlands,113.23,Electricity,2011
Netherlands,47.96,Natural Gas,2011
Poland,132.39,Electricity,2011
Poland,16.93,Natural Gas,2011
Portugal,49.11,Electricity,2011
Portugal,5.18,Natural Gas,2011
Romania,47.25,Electricity,2011
Romania,13.89,Natural Gas,2011
Spain,248.84,Electricity,2011
Spain,33.25,Natural Gas,2011
Sweden,128.96,Electricity,2011
Sweden,1.31,Natural Gas,2011
United Kingdom,325.87,Electricity,2011
United Kingdom,82.62,Natural Gas,2011
Norway,114.11,Electricity,2011
Norway,5.81,Natural Gas,2011
Turkey,186.1,Electricity,2011
Turkey,44.69,Natural Gas,2011
Kazakhstan,71.26,Electricity,2011
Kazakhstan,26.79,Natural Gas,2011
Russia,856.24,Electricity,2011
Russia,476.18,Natural Gas,2011
Ukraine,152.08,Electricity,2011
Ukraine,58.21,Natural Gas,2011
Uzbekistan,44.88,Electricity,2011
Uzbekistan,51.04,Natural Gas,2011
Canada,516.02,Electricity,2011
Canada,105.53,Natural Gas,2011
United States,3885.02,Electricity,2011
United States,691.42,Natural Gas,2011
Argentina,115.99,Electricity,2011
Argentina,48.46,Natural Gas,2011
Brazil,475.89,Electricity,2011
Brazil,27.5,Natural Gas,2011
Chile,58.49,Electricity,2011
Chile,5.7,Natural Gas,2011
Colombia,48.51,Electricity,2011
Colombia,10.02,Natural Gas,2011
Mexico,238.96,Electricity,2011
Mexico,70.95,Natural Gas,2011
Venezuela,87.07,Electricity,2011
Venezuela,24.03,Natural Gas,2011
China,4051.61,Electricity,2011
China,131.32,Natural Gas,2011
India,802.89,Electricity,2011
India,64.46,Natural Gas,2011
Indonesia,159.87,Electricity,2011
Indonesia,41.03,Natural Gas,2011
Japan,979.46,Electricity,2011
Japan,127.64,Natural Gas,2011
Malaysia,111.85,Electricity,2011
Malaysia,37.52,Natural Gas,2011
South Korea,480.96,Electricity,2011
South Korea,46.69,Natural Gas,2011
Taiwan,226.92,Electricity,2011
Taiwan,16.02,Natural Gas,2011
Thailand,148.7,Electricity,2011
Thailand,39.37,Natural Gas,2011
Australia,224.15,Electricity,2011
Australia,35.34,Natural Gas,2011
New Zealand,39.19,Electricity,2011
New Zealand,4.33,Natural Gas,2011
Algeria,41.18,Electricity,2011
Algeria,29.11,Natural Gas,2011
Egypt,138.09,Electricity,2011
Egypt,47.78,Natural Gas,2011
Nigeria,23.68,Electricity,2011
Nigeria,15.01,Natural Gas,2011
South Africa,218.53,Electricity,2011
South Africa,4.71,Natural Gas,2011
Iran,191.46,Electricity,2011
Iran,152.78,Natural Gas,2011
Kuwait,43.29,Electricity,2011
Kuwait,16.99,Natural Gas,2011
Saudi Arabia,219.66,Electricity,2011
Saudi Arabia,74.69,Natural Gas,2011
United Arab Emirates,85.55,Electricity,2011
United Arab Emirates,62.88,Natural Gas,2011
Belgium,84.42,Electricity,2012
Belgium,17.88,Natural Gas,2012
Czech Rep.,58.8,Electricity,2012
Czech Rep.,8.39,Natural Gas,2012
France,454.25,Electricity,2012
France,44.27,Natural Gas,2012
Germany,539.52,Electricity,2012
Germany,85.58,Natural Gas,2012
Italy,307.22,Electricity,2012
Italy,74.92,Natural Gas,2012
Netherlands,108.75,Electricity,2012
Netherlands,45.56,Natural Gas,2012
Poland,133.28,Electricity,2012
Poland,18.03,Natural Gas,2012
Portugal,47.11,Electricity,2012
Portugal,4.49,Natural Gas,2012
Romania,46.86,Electricity,2012
Romania,13.53,Natural Gas,2012
Spain,245.5,Electricity,2012
Spain,32.4,Natural Gas,2012
Sweden,132.12,Electricity,2012
Sweden,1.18,Natural Gas,2012
United Kingdom,325.17,Electricity,2012
United Kingdom,78.64,Natural Gas,2012
Norway,118.79,Electricity,2012
Norway,5.61,Natural Gas,2012
Turkey,194.92,Electricity,2012
Turkey,45.25,Natural Gas,2012
Kazakhstan,73.49,Electricity,2012
Kazakhstan,25.23,Natural Gas,2012
Russia,874.74,Electricity,2012
Russia,471.06,Natural Gas,2012
Ukraine,149.82,Electricity,2012
Ukraine,53.42,Natural Gas,2012
Uzbekistan,44.97,Electricity,2012
Uzbekistan,52.71,Natural Gas,2012
Canada,523.98,Electricity,2012
Canada,105.26,Natural Gas,2012
United States,3830.93,Electricity,2012
United States,721.14,Natural Gas,2012
Argentina,119.87,Electricity,2012
Argentina,49.98,Natural Gas,2012
Brazil,492.26,Electricity,2012
Brazil,32.22,Natural Gas,2012
Chile,62.92,Electricity,2012
Chile,4.88,Natural Gas,2012
Colombia,49.23,Electricity,2012
Colombia,10.39,Natural Gas,2012
Mexico,253.07,Electricity,2012
Mexico,74.13,Natural Gas,2012
Venezuela,89.99,Electricity,2012
Venezuela,24.97,Natural Gas,2012
China,4326.08,Electricity,2012
China,147.31,Natural Gas,2012
India,838.85,Electricity,2012
India,57.26,Natural Gas,2012
Indonesia,175.04,Electricity,2012
Indonesia,40.84,Natural Gas,2012
Japan,978.02,Electricity,2012
Japan,132.51,Natural Gas,2012
Malaysia,120.64,Electricity,2012
Malaysia,38.42,Natural Gas,2012
South Korea,492.57,Electricity,2012
South Korea,50.58,Natural Gas,2012
Taiwan,226.62,Electricity,2012
Taiwan,15.18,Natural Gas,2012
Thailand,161.75,Electricity,2012
Thailand,44.99,Natural Gas,2012
Australia,222.05,Electricity,2012
Australia,36.61,Natural Gas,2012
New Zealand,39.13,Electricity,2012
New Zealand,4.51,Natural Gas,2012
Algeria,46.28,Electricity,2012
Algeria,32.94,Natural Gas,2012
Egypt,140.26,Electricity,2012
Egypt,47.9,Natural Gas,2012
Nigeria,25.4,Electricity,2012
Nigeria,15.45,Natural Gas,2012
South Africa,211.95,Electricity,2012
South Africa,4.94,Natural Gas,2012
Iran,201.56,Electricity,2012
Iran,151.78,Natural Gas,2012
Kuwait,46.38,Electricity,2012
Kuwait,18.17,Natural Gas,2012
Saudi Arabia,241.07,Electricity,2012
Saudi Arabia,81.09,Natural Gas,2012
United Arab Emirates,88.25,Electricity,2012
United Arab Emirates,66.05,Natural Gas,2012
Belgium,83.15,Electricity,2013
Belgium,18.02,Natural Gas,2013
Czech Rep.,58.66,Electricity,2013
Czech Rep.,8.44,Natural Gas,2013
France,457.08,Electricity,2013
France,46.21,Natural Gas,2013
Germany,537.33,Electricity,2013
Germany,87.53,Natural Gas,2013
Italy,297.29,Electricity,2013
Italy,70.07,Natural Gas,2013
Netherlands,110.03,Electricity,2013
Netherlands,46.07,Natural Gas,2013
Poland,134.48,Electricity,2013
Poland,18.02,Natural Gas,2013
Portugal,46.27,Electricity,2013
Portugal,4.26,Natural Gas,2013
Romania,44.95,Electricity,2013
Romania,12.57,Natural Gas,2013
Spain,235.18,Electricity,2013
Spain,29.63,Natural Gas,2013
Sweden,129.34,Electricity,2013
Sweden,1.07,Natural Gas,2013
United Kingdom,325.09,Electricity,2013
United Kingdom,77.68,Natural Gas,2013
Norway,119.53,Electricity,2013
Norway,5.62,Natural Gas,2013
Turkey,198.05,Electricity,2013
Turkey,45.91,Natural Gas,2013
Kazakhstan,71.02,Electricity,2013
Kazakhstan,26.65,Natural Gas,2013
Russia,871.74,Electricity,2013
Russia,483.29,Natural Gas,2013
Ukraine,147.51,Electricity,2013
Ukraine,49.46,Natural Gas,2013
Uzbekistan,46.43,Electricity,2013
Uzbekistan,46.13,Natural Gas,2013
Canada,527.04,Electricity,2013
Canada,112.23,Natural Gas,2013
United States,3873.14,Electricity,2013
United States,737.33,Natural Gas,2013
Argentina,120.94,Electricity,2013
Argentina,50.08,Natural Gas,2013
Brazil,508.51,Electricity,2013
Brazil,37.74,Natural Gas,2013
Chile,66.04,Electricity,2013
Chile,4.95,Natural Gas,2013
Colombia,49.43,Electricity,2013
Colombia,11.23,Natural Gas,2013
Mexico,246.5,Electricity,2013
Mexico,70.19,Natural Gas,2013
Venezuela,99.04,Electricity,2013
Venezuela,24.35,Natural Gas,2013
China,4717.57,Electricity,2013
China,167.29,Natural Gas,2013
India,897.23,Electricity,2013
India,51.95,Natural Gas,2013
Indonesia,187.54,Electricity,2013
Indonesia,45.19,Natural Gas,2013
Japan,983.35,Electricity,2013
Japan,130.77,Natural Gas,2013
Malaysia,127.36,Electricity,2013
Malaysia,45.21,Natural Gas,2013
South Korea,498.16,Electricity,2013
South Korea,52.56,Natural Gas,2013
Taiwan,230.46,Electricity,2013
Taiwan,15.53,Natural Gas,2013
Thailand,164.32,Electricity,2013
Thailand,48.38,Natural Gas,2013
Australia,222.17,Electricity,2013
Australia,37.7,Natural Gas,2013
New Zealand,38.84,Electricity,2013
New Zealand,4.77,Natural Gas,2013
Algeria,48.78,Electricity,2013
Algeria,33.62,Natural Gas,2013
Egypt,143.43,Electricity,2013
Egypt,48.91,Natural Gas,2013
Nigeria,23.69,Electricity,2013
Nigeria,15.16,Natural Gas,2013
South Africa,211.61,Electricity,2013
South Africa,5.01,Natural Gas,2013
Iran,207.22,Electricity,2013
Iran,152.89,Natural Gas,2013
Kuwait,46.19,Electricity,2013
Kuwait,18.49,Natural Gas,2013
Saudi Arabia,257.44,Electricity,2013
Saudi Arabia,81.95,Natural Gas,2013
United Arab Emirates,91.57,Electricity,2013
United Arab Emirates,67.33,Natural Gas,2013
Belgium,81.99,Electricity,2014
Belgium,15.79,Natural Gas,2014
Czech Rep.,58.4,Electricity,2014
Czech Rep.,7.53,Natural Gas,2014
France,431.62,Electricity,2014
France,37.28,Natural Gas,2014
Germany,525.9,Electricity,2014
Germany,79.05,Natural Gas,2014
Italy,291.09,Electricity,2014
Italy,61.91,Natural Gas,2014
Netherlands,107.22,Electricity,2014
Netherlands,40.26,Natural Gas,2014
Poland,136.31,Electricity,2014
Poland,17.52,Natural Gas,2014
Portugal,46.14,Electricity,2014
Portugal,4.08,Natural Gas,2014
Romania,45.81,Electricity,2014
Romania,11.97,Natural Gas,2014
Spain,233.31,Electricity,2014
Spain,27.23,Natural Gas,2014
Sweden,126.85,Electricity,2014
Sweden,0.93,Natural Gas,2014
United Kingdom,311.03,Electricity,2014
United Kingdom,70.84,Natural Gas,2014
Norway,116.42,Electricity,2014
Norway,6.06,Natural Gas,2014
Turkey,207.38,Electricity,2014
Turkey,48.72,Natural Gas,2014
Kazakhstan,74.86,Electricity,2014
Kazakhstan,27.96,Natural Gas,2014
Russia,877.12,Electricity,2014
Russia,454.41,Natural Gas,2014
Ukraine,133.86,Electricity,2014
Ukraine,41.09,Natural Gas,2014
Uzbekistan,47.45,Electricity,2014
Uzbekistan,47.04,Natural Gas,2014
Canada,518.77,Electricity,2014
Canada,116.58,Natural Gas,2014
United States,3894.06,Electricity,2014
United States,752.7,Natural Gas,2014
Argentina,126.76,Electricity,2014
Argentina,51.64,Natural Gas,2014
Brazil,522.39,Electricity,2014
Brazil,41.29,Natural Gas,2014
Chile,67.15,Electricity,2014
Chile,4.14,Natural Gas,2014
Colombia,51.27,Electricity,2014
Colombia,11.23,Natural Gas,2014
Mexico,256.78,Electricity,2014
Mexico,71.51,Natural Gas,2014
Venezuela,79.58,Electricity,2014
Venezuela,23.42,Natural Gas,2014
China,4938.62,Electricity,2014
China,185.26,Natural Gas,2014
India,954.35,Electricity,2014
India,50.43,Natural Gas,2014
Indonesia,198.6,Electricity,2014
Indonesia,46.07,Natural Gas,2014
Japan,965.95,Electricity,2014
Japan,131.42,Natural Gas,2014
Malaysia,132.64,Electricity,2014
Malaysia,45.47,Natural Gas,2014
South Korea,499.05,Electricity,2014
South Korea,47.4,Natural Gas,2014
Taiwan,235.79,Electricity,2014
Taiwan,16.3,Natural Gas,2014
Thailand,168.79,Electricity,2014
Thailand,48.36,Natural Gas,2014
Australia,221.54,Electricity,2014
Australia,38.52,Natural Gas,2014
New Zealand,39.23,Electricity,2014
New Zealand,5.39,Natural Gas,2014
Algeria,53.05,Electricity,2014
Algeria,37.77,Natural Gas,2014
Egypt,146.56,Electricity,2014
Egypt,49.99,Natural Gas,2014
Nigeria,24.63,Electricity,2014
Nigeria,16.45,Natural Gas,2014
South Africa,210.51,Electricity,2014
South Africa,4.71,Natural Gas,2014
Iran,223.96,Electricity,2014
Iran,172.5,Natural Gas,2014
Kuwait,49.96,Electricity,2014
Kuwait,18.49,Natural Gas,2014
Saudi Arabia,283.1,Electricity,2014
Saudi Arabia,85.13,Natural Gas,2014
United Arab Emirates,95.1,Electricity,2014
United Arab Emirates,66.1,Natural Gas,2014
Belgium,82.81,Electricity,2015
Belgium,17.3,Natural Gas,2015
Czech Rep.,59.72,Electricity,2015
Czech Rep.,7.87,Natural Gas,2015
France,440.18,Electricity,2015
France,40.08,Natural Gas,2015
Germany,533.09,Electricity,2015
Germany,83.19,Natural Gas,2015
Italy,298.8,Electricity,2015
Italy,67.52,Natural Gas,2015
Netherlands,108.28,Electricity,2015
Netherlands,40.4,Natural Gas,2015
Poland,138.47,Electricity,2015
Poland,18.23,Natural Gas,2015
Portugal,46.43,Electricity,2015
Portugal,4.75,Natural Gas,2015
Romania,49.27,Electricity,2015
Romania,11.44,Natural Gas,2015
Spain,237.74,Electricity,2015
Spain,28.3,Natural Gas,2015
Sweden,127.36,Electricity,2015
Sweden,0.9,Natural Gas,2015
United Kingdom,310.76,Electricity,2015
United Kingdom,72.42,Natural Gas,2015
Norway,118.62,Electricity,2015
Norway,6.21,Natural Gas,2015
Turkey,217.3,Electricity,2015
Turkey,48.03,Natural Gas,2015
Kazakhstan,74.19,Electricity,2015
Kazakhstan,29.8,Natural Gas,2015
Russia,872.16,Electricity,2015
Russia,430.78,Natural Gas,2015
Ukraine,128.48,Electricity,2015
Ukraine,32.63,Natural Gas,2015
Uzbekistan,49.11,Electricity,2015
Uzbekistan,48.51,Natural Gas,2015
Canada,516.2,Electricity,2015
Canada,113.97,Natural Gas,2015
United States,3898.45,Electricity,2015
United States,775.05,Natural Gas,2015
Argentina,130.14,Electricity,2015
Argentina,52.79,Natural Gas,2015
Brazil,512.85,Electricity,2015
Brazil,40.88,Natural Gas,2015
Chile,68.9,Electricity,2015
Chile,4.34,Natural Gas,2015
Colombia,52.16,Electricity,2015
Colombia,10.67,Natural Gas,2015
Mexico,261.24,Electricity,2015
Mexico,70.04,Natural Gas,2015
Venezuela,92.07,Electricity,2015
Venezuela,27.06,Natural Gas,2015
China,4963.32,Electricity,2015
China,187.61,Natural Gas,2015
India,1006.9,Electricity,2015
India,50,Natural Gas,2015
Indonesia,202.85,Electricity,2015
Indonesia,47.47,Natural Gas,2015
Japan,940.37,Electricity,2015
Japan,126.54,Natural Gas,2015
Malaysia,135.79,Electricity,2015
Malaysia,40.3,Natural Gas,2015
South Korea,505.12,Electricity,2015
South Korea,43.27,Natural Gas,2015
Taiwan,234.59,Electricity,2015
Taiwan,17.66,Natural Gas,2015
Thailand,174.94,Electricity,2015
Thailand,49.33,Natural Gas,2015
Australia,225.07,Electricity,2015
Australia,39.01,Natural Gas,2015
New Zealand,39.92,Electricity,2015
New Zealand,5.05,Natural Gas,2015
Algeria,57.57,Electricity,2015
Algeria,40.29,Natural Gas,2015
Egypt,146.24,Electricity,2015
Egypt,49.57,Natural Gas,2015
Nigeria,26.84,Electricity,2015
Nigeria,17.15,Natural Gas,2015
South Africa,207.43,Electricity,2015
South Africa,4.86,Natural Gas,2015
Iran,235.76,Electricity,2015
Iran,182.67,Natural Gas,2015
Kuwait,50.52,Electricity,2015
Kuwait,20.84,Natural Gas,2015
Saudi Arabia,294.47,Electricity,2015
Saudi Arabia,86.89,Natural Gas,2015
United Arab Emirates,100.8,Electricity,2015
United Arab Emirates,71.83,Natural Gas,2015
